6.379	7.953e-34
6.884	3.679e-34
7.424	1.933e-34
8.003	9.754e-35
8.574	5.912e-35
9.139	3.555e-35
9.748	2.294e-35
10.715	1.346e-35
11.524	8.686e-36
12.533	5.922e-36
13.721	4.057e-36
15.089	2.866e-36
16.654	2.060e-36
19.053	1.468e-36
22.344	1.059e-36
26.160	8.962e-37
31.831	7.825e-37
38.444	7.825e-37
49.265	8.387e-37
61.794	9.402e-37
80.989	1.142e-36
101.174	1.362e-36
128.817	1.692e-36
160.317	2.102e-36
202.805	2.640e-36
251.506	3.344e-36
308.006	4.028e-36
361.525	4.820e-36
469.703	6.153e-36
560.112	7.344e-36
682.462	8.949e-36
850.220	1.112e-35
1038.071	1.364e-35
1290.586	1.686e-35
1542.695	2.038e-35
1883.116	2.479e-35
2402.832	3.134e-35
2930.378	3.853e-35
3688.427	4.837e-35
4747.423	6.261e-35
5871.652	7.776e-35
7376.657	9.771e-35
9666.964	1.258e-34
