17.009	8.549e-31
18.093	3.283e-31
18.824	1.828e-31
19.785	9.989e-32
21.026	5.126e-32
22.557	2.702e-32
24.990	1.310e-32
28.222	6.434e-33
32.765	3.271e-33
38.810	1.874e-33
45.739	1.258e-33
54.402	9.406e-34
68.855	7.219e-34
88.138	6.389e-34
110.994	6.189e-34
142.061	6.264e-34
190.380	6.973e-34
260.894	8.246e-34
340.241	9.867e-34
424.986	1.144e-33
544.666	1.404e-33
684.415	1.694e-33
860.021	2.025e-33
1092.648	2.545e-33
1398.399	3.262e-33
1829.115	4.187e-33
2366.724	5.300e-33
3024.050	6.617e-33
3999.513	8.899e-33
5361.487	1.142e-32
5361.487	1.142e-32
6942.780	1.516e-32
8661.560	1.886e-32
9898.871	2.140e-32
